# Geant4→SSD 信号模拟 — noscratch — 每事件一行
# event_id  n_hits  r_mm  z_mm  edep_keV  emeas_keV
221  9  10.333  4.521  121.9999  121.9999
222  11  6.073  2.402  122.0  122.0
224  10  5.368  3.119  122.0  122.0
227  32  11.628  0.196  122.0  122.0
228  12  13.53  2.339  122.0001  122.0001
230  8  10.058  3.148  121.9999  121.9999
231  2  14.301  0.305  0.246  0.246
232  5  10.48  1.35  122.0  122.0
233  8  11.95  0.223  122.0  122.0
234  5  13.113  2.125  122.0  122.0
236  8  7.875  0.19  122.0  122.0
237  3  6.999  0.178  33.5288  33.5289
238  8  8.769  2.499  121.9999  122.0
239  5  9.157  4.345  122.0001  122.0001
241  8  14.763  1.245  121.9999  122.0
242  9  13.372  0.15  122.0  122.0
244  3  14.101  1.308  2.8033  2.8033
245  10  4.943  4.44  122.0  122.0
246  4  3.876  1.773  121.9999  121.9999
247  5  3.243  1.883  122.0  122.0
248  11  9.615  2.515  122.0  122.0001
249  5  2.128  4.097  122.0001  122.0001
250  6  14.171  5.067  122.0  122.0001
251  14  10.125  7.208  122.0  122.0
254  7  14.111  1.23  122.0  122.0
256  6  6.624  2.874  122.0001  122.0001
257  10  7.259  2.271  122.0  122.0
260  3  11.597  9.618  11.3058  11.3058
261  4  3.008  0.321  122.0  122.0
263  8  2.197  9.843  122.0  122.0
264  6  12.25  8.369  122.0  122.0
265  5  6.977  1.414  122.0  122.0
266  9  13.233  6.032  122.0  122.0001
267  13  9.339  8.244  122.0  122.0
268  9  9.846  9.798  122.0  121.8974
269  7  0.841  3.358  122.0  122.0
271  6  14.579  8.515  121.9999  122.0
272  5  9.199  4.685  122.0  122.0
273  3  14.021  6.245  9.7247  9.7247
274  9  7.08  5.65  122.0001  122.0001
275  8  7.278  0.391  122.0  122.0
278  13  11.891  8.621  122.0001  122.0001
279  6  6.82  2.249  17.7236  17.7236
281  8  11.189  2.476  121.9999  121.9999
282  8  10.729  1.582  122.0  122.0
283  13  7.675  4.579  122.0  122.0
285  11  12.817  6.136  121.9999  121.9999
286  3  9.627  0.396  30.6704  30.6704
287  13  13.553  4.348  121.9999  121.9999
288  11  5.308  0.15  112.1558  112.1558
289  8  11.274  0.15  121.9999  121.9999
290  3  13.64  3.007  31.2239  31.2239
291  9  5.967  5.737  122.0001  122.0001
292  5  5.004  5.86  122.0  122.0
294  5  4.695  0.284  122.0  122.0
295  9  10.564  2.244  122.0  122.0
296  5  14.206  3.862  122.0  122.0001
297  8  6.877  4.829  122.0  122.0
299  8  12.79  3.953  122.0  122.0
300  8  14.506  5.671  121.9999  121.9999
301  8  14.203  5.266  122.0  122.0
303  6  4.394  2.753  122.0001  122.0001
304  7  8.551  4.95  122.0  122.0
305  5  8.788  3.316  122.0  122.0
307  5  8.236  3.465  122.0  122.0
308  5  14.188  3.757  122.0  122.0
309  6  9.302  5.562  122.0  122.0
310  10  11.862  0.588  122.0  122.0001
311  6  10.745  2.887  122.0001  122.0001
314  9  8.895  3.122  122.0  122.0
316  5  13.345  3.069  122.0  122.0
317  8  12.803  3.219  121.9999  121.9999
319  5  4.855  0.763  122.0  122.0
320  7  13.881  1.329  122.0  122.0
